ckpt_name,epoch,step,loss_train,loss_val,acc_mean,acc_median,acc_std,acc_tail,lr
ckpt_e176_s274912.safetensors,176,274912,25.478143,24.585456,2.698322,1.919845,2.824545,2.164509,0.00007625
ckpt_e177_s276474.safetensors,177,276474,25.775253,24.498210,2.694973,1.920996,2.815391,2.177640,0.00007601
ckpt_e178_s278036.safetensors,178,278036,25.602814,24.721876,2.730954,1.953760,2.817481,2.211936,0.00007576
ckpt_e179_s279598.safetensors,179,279598,25.687283,24.650302,2.731038,1.965854,2.804234,2.206461,0.00007552
ckpt_e180_s281160.safetensors,180,281160,25.118531,24.666508,2.722809,1.945097,2.816936,2.196220,0.00007527
ckpt_e181_s282722.safetensors,181,282722,25.381091,24.500637,2.689740,1.910843,2.820720,2.152675,0.00007502
ckpt_e182_s284284.safetensors,182,284284,25.552793,24.482513,2.698333,1.927175,2.811537,2.181376,0.00007478
ckpt_e183_s285846.safetensors,183,285846,25.432341,24.611685,2.711635,1.935883,2.816561,2.193522,0.00007453
ckpt_e184_s287408.safetensors,184,287408,25.387547,24.597006,2.719232,1.946566,2.810020,2.195359,0.00007428
ckpt_e185_s288970.safetensors,185,288970,23.281821,24.604565,2.715139,1.941367,2.810919,2.183360,0.00007403
ckpt_e186_s290532.safetensors,186,290532,23.535671,24.525735,2.698664,1.924353,2.816228,2.155942,0.00007378
ckpt_e187_s292094.safetensors,187,292094,23.372491,24.471704,2.693414,1.923086,2.813597,2.150825,0.00007353
ckpt_e188_s293656.safetensors,188,293656,23.067584,24.432942,2.687351,1.915399,2.813339,2.146683,0.00007328
ckpt_e189_s295218.safetensors,189,295218,23.161820,24.466052,2.695522,1.928059,2.809366,2.161041,0.00007302
ckpt_e190_s296780.safetensors,190,296780,23.000353,24.385815,2.682515,1.908982,2.808977,2.140943,0.00007277
ckpt_e191_s298342.safetensors,191,298342,23.387482,24.599403,2.702383,1.922561,2.825661,2.162230,0.00007252
ckpt_e192_s299904.safetensors,192,299904,23.525087,24.403435,2.693179,1.923697,2.802986,2.157301,0.00007226
ckpt_e193_s301466.safetensors,193,301466,25.227913,24.380743,2.694842,1.927500,2.800374,2.157512,0.00007201
ckpt_e194_s303028.safetensors,194,303028,25.357203,24.410273,2.696663,1.924758,2.804020,2.161030,0.00007175
ckpt_e195_s304590.safetensors,195,304590,25.033526,24.443737,2.690243,1.913143,2.815614,2.156718,0.00007149
ckpt_e196_s306152.safetensors,196,306152,25.347677,24.254383,2.682982,1.916609,2.793459,2.138292,0.00007124
ckpt_e197_s307714.safetensors,197,307714,25.203862,24.298252,2.678945,1.912070,2.801965,2.132025,0.00007098
ckpt_e198_s309276.safetensors,198,309276,25.215679,24.267224,2.686099,1.920294,2.792175,2.138660,0.00007072
ckpt_e199_s310838.safetensors,199,310838,25.263665,24.209604,2.679896,1.914457,2.788840,2.137396,0.00007046
ckpt_e200_s312400.safetensors,200,312400,24.967029,24.255818,2.687520,1.923879,2.788149,2.148987,0.00007020
ckpt_e201_s313962.safetensors,201,313962,25.385100,24.246638,2.674279,1.909253,2.802068,2.126659,0.00006994
ckpt_e202_s315524.safetensors,202,315524,25.119762,24.190765,2.695151,1.935873,2.778699,2.157512,0.00006968
ckpt_e203_s317086.safetensors,203,317086,25.135295,24.226929,2.684474,1.918503,2.789339,2.145959,0.00006942
ckpt_e204_s318648.safetensors,204,318648,24.746319,24.161526,2.677149,1.910972,2.787370,2.149614,0.00006916
ckpt_e205_s320210.safetensors,205,320210,25.033195,24.012846,2.673173,1.917772,2.773537,2.123390,0.00006890
ckpt_e206_s321772.safetensors,206,321772,24.996455,23.987597,2.674151,1.917071,2.767759,2.126190,0.00006864
ckpt_e207_s323334.safetensors,207,323334,24.969233,24.056562,2.676141,1.918336,2.772910,2.141486,0.00006837
ckpt_e208_s324896.safetensors,208,324896,24.855830,23.944525,2.673578,1.924754,2.758809,2.119648,0.00006811
ckpt_e209_s326458.safetensors,209,326458,22.904772,23.990108,2.677521,1.924994,2.763081,2.128171,0.00006784
ckpt_e210_s328020.safetensors,210,328020,23.139313,24.107552,2.686831,1.925545,2.773097,2.129178,0.00006758
ckpt_e211_s329582.safetensors,211,329582,22.822425,24.123577,2.696122,1.943878,2.766402,2.158199,0.00006731
ckpt_e212_s331144.safetensors,212,331144,22.634998,24.001694,2.676979,1.924205,2.765527,2.127384,0.00006705
ckpt_e213_s332706.safetensors,213,332706,22.759506,23.947575,2.689340,1.938844,2.750277,2.165433,0.00006678
ckpt_e214_s334268.safetensors,214,334268,22.554027,24.045176,2.680848,1.922231,2.770930,2.140114,0.00006652
ckpt_e215_s335830.safetensors,215,335830,22.854244,23.780134,2.663449,1.918034,2.749269,2.108664,0.00006625
ckpt_e216_s337392.safetensors,216,337392,23.100831,23.873774,2.665987,1.914725,2.757684,2.115174,0.00006598
ckpt_e217_s338954.safetensors,217,338954,24.580224,23.845712,2.669924,1.922034,2.751352,2.119413,0.00006571
ckpt_e218_s340516.safetensors,218,340516,24.596321,23.714470,2.664692,1.923153,2.736070,2.106156,0.00006544
ckpt_e219_s342078.safetensors,219,342078,24.353379,23.745895,2.663457,1.917507,2.742835,2.106636,0.00006518
ckpt_e220_s343640.safetensors,220,343640,24.573557,23.683953,2.657917,1.916075,2.738990,2.101942,0.00006491
ckpt_e221_s345202.safetensors,221,345202,24.427113,23.646429,2.686965,1.956994,2.708036,2.132523,0.00006464
ckpt_e222_s346764.safetensors,222,346764,24.526359,23.644688,2.661479,1.918710,2.731178,2.096535,0.00006437
ckpt_e223_s348326.safetensors,223,348326,24.428801,23.464812,2.646049,1.914206,2.719748,2.081452,0.00006410
ckpt_e224_s349888.safetensors,224,349888,24.325601,23.647347,2.659646,1.917354,2.734470,2.098015,0.00006383
ckpt_e225_s351450.safetensors,225,351450,24.568901,23.416848,2.648808,1.914499,2.713188,2.071635,0.00006356
ckpt_e226_s353012.safetensors,226,353012,24.407410,23.844104,2.700046,1.948918,2.728460,2.140065,0.00006329
ckpt_e227_s354574.safetensors,227,354574,24.469898,23.447726,2.660099,1.928018,2.706392,2.107306,0.00006301
ckpt_e228_s356136.safetensors,228,356136,23.960664,23.392420,2.663375,1.932137,2.699496,2.100301,0.00006274
ckpt_e229_s357698.safetensors,229,357698,24.174870,23.230752,2.635683,1.905511,2.695901,2.059790,0.00006247
ckpt_e230_s359260.safetensors,230,359260,24.143235,23.218138,2.645806,1.924632,2.689429,2.079194,0.00006220
ckpt_e231_s360822.safetensors,231,360822,24.025330,23.218462,2.643954,1.919146,2.689769,2.068001,0.00006193
ckpt_e232_s362384.safetensors,232,362384,24.042703,23.076203,2.629394,1.911483,2.681513,2.058605,0.00006165
ckpt_e233_s363946.safetensors,233,363946,22.171135,23.233140,2.637928,1.912106,2.693598,2.066012,0.00006138
ckpt_e234_s365508.safetensors,234,365508,22.240130,23.181256,2.640566,1.917842,2.685989,2.075629,0.00006111
ckpt_e235_s367070.safetensors,235,367070,22.142764,23.099888,2.632980,1.919511,2.680336,2.050324,0.00006083
ckpt_e236_s368632.safetensors,236,368632,21.871872,23.099474,2.637219,1.917250,2.680048,2.047869,0.00006056
